Phylum	SGB	uSGB	KSGB	MAG
Acidobacteriota	1	1	0	1
Actinobacteriota	25	7	18	27
Armatimonadota	1	0	1	1
Bacteroidota	81	58	23	100
Campylobacterota	5	3	2	6
Chloroflexota	1	1	0	1
Cyanobacteria	1	1	0	1
Deinococcota	4	2	2	31
Fibrobacterota	1	0	1	1
Firmicutes	26	14	12	44
Firmicutes_A	44	28	16	44
Firmicutes_C	3	2	1	3
Fusobacteriota	3	3	0	4
Methanobacteriota	1	0	1	1
Patescibacteria	2	2	0	2
Proteobacteria	85	34	51	122
Spirochaetota	7	6	1	7
Thermoplasmatota	1	1	0	1
