6499.2.strict	566	Clade Ⅱ
6505.9.strict	573	Clade Ⅰ
6506.10.strict	575	Clade Ⅱ
6512.1.strict	556	Clade Ⅱ
6526.1.permissive	572	Clade Ⅰ
6544.4.strict	570	Clade Ⅱ
6546.27.orig	546	Clade Ⅱ
6552.3.permissive	578	Clade Ⅰ
6553.1.strict	580	Clade Ⅰ
6556.9.permissive	461	Clade Ⅱ
6558.1.orig	557	Clade Ⅰ
6564.9.permissive	565	Clade Ⅰ
6573.3.permissive	571	Clade Ⅱ
6574.4.orig	567	Clade Ⅱ
6575.5.permissive	573	Clade Ⅱ
6576.8.strict	576	Clade Ⅰ
6577.3.orig	439	Clade Ⅱ
6578.5.strict	570	Clade Ⅱ
6581.1.permissive	580	Clade Ⅱ
6584.3.strict	572	Clade Ⅱ
6590.6.permissive	531	Clade Ⅱ
6607.8.strict	567	Clade Ⅱ
6609.1.strict	570	Clade Ⅱ
6620.4.strict	566	Clade Ⅱ
6634.5.strict	574	Clade Ⅱ
6638.3.permissive	534	Clade Ⅱ
6647.5.permissive	558	Clade Ⅰ
6653.2.strict	574	Clade Ⅰ
6655.10.strict	578	Clade Ⅰ
6661.4.permissive	556	Clade Ⅰ
6669.6.strict	573	Clade Ⅱ
6671.5.permissive	576	Clade Ⅱ
6675.4.strict	570	Clade Ⅱ
6679.6.strict	573	Clade Ⅱ
6683.3.permissive	569	Clade Ⅰ
6685.3.permissive	572	Clade Ⅱ
6693.2.permissive	574	Clade Ⅱ
6694.4.permissive	577	Clade Ⅱ
6695.4.permissive	537	Clade Ⅱ
6697.3.permissive	567	Clade Ⅱ
6701.5.strict	570	Clade Ⅱ
6705.4.permissive	535	Clade Ⅱ
6723.4.strict	570	Clade Ⅱ
6740.5.permissive	553	Clade Ⅱ
6743.6.strict	571	Clade Ⅱ
6751.12.strict	569	Clade Ⅱ
6759.1.permissive	550	Clade Ⅰ
6761.8.orig	560	Clade Ⅱ
6766.6.strict	561	Clade Ⅱ
6768.8.permissive	575	Clade Ⅱ
6783.2.strict	571	Clade Ⅱ
6793.1.strict	569	Clade Ⅱ
6795.4.orig	562	Clade Ⅱ
6803.3.permissive	566	Clade Ⅱ
6805.10.strict	577	Clade Ⅱ
6807.3.strict	571	Clade Ⅰ
6808.2.strict	574	Clade Ⅰ
6822.3.orig	565	Clade Ⅱ
6824.1.permissive	576	Clade Ⅰ
6825.7.permissive	568	Clade Ⅱ
6827.5.permissive	564	Clade Ⅱ
6830.3.permissive	564	Clade Ⅱ
6831.9.strict	566	Clade Ⅱ
6835.8.permissive	568	Clade Ⅰ
6837.3.strict	564	Clade Ⅱ
6840.6.permissive	549	Clade Ⅰ
6842.2.orig	555	Clade Ⅱ
6845.5.orig	453	Clade Ⅱ
6846.1.permissive	565	Clade Ⅰ
6847.1.permissive	561	Clade Ⅱ
6848.5.strict	563	Clade Ⅱ
6851.2.permissive	500	Clade Ⅰ
6855.1.permissive	566	Clade Ⅰ
6864.2.permissive	565	Clade Ⅱ
6874.4.permissive	576	Clade Ⅰ
6877.5.permissive	568	Clade Ⅱ
6890.6.strict	563	Clade Ⅱ
6891.1.strict	535	Clade Ⅱ
6901.1.permissive	577	Clade Ⅰ
6907.4.permissive	571	Clade Ⅰ
6911.38.permissive	573	Clade Ⅰ
6920.6.strict	566	Clade Ⅱ
6939.1.strict	567	Clade Ⅱ
6945.5.strict	572	Clade Ⅱ
6985.6.permissive	573	Clade Ⅱ
6989.7.orig	570	Clade Ⅰ
7011.4.orig	540	Clade Ⅰ
7025.1.permissive	565	Clade Ⅱ
7031.12.strict	563	Clade Ⅱ
7035.5.permissive	567	Clade Ⅱ
7037.2.orig	510	Clade Ⅰ
