ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Significant	VF
MHP168L_RS04020	1994.198073	1.25720744	0.068945178	18.23488558	2.73E-74	2.23E-73	up	-
MHP168L_RS04025	232.3239431	-0.584211495	0.136393116	-4.283291658	1.84E-05	3.09E-05	normal	-
MHP168L_RS04030	621.7301079	-3.767010078	0.117762557	-31.98818173	1.59E-224	4.34E-223	down	-
MHP168L_RS04035	3261.786886	-1.278240257	0.089011567	-14.3603837	9.17E-47	5.44E-46	down	-
MHP168L_RS04050	31.92936796	0.32250267	0.355367009	0.907520005	0.364131875	0.406062212	normal	-
MHP168L_RS04055	13766.26312	-4.465076846	0.058979751	-75.70525036	0	0	down	-
MHP168L_RS04060	26.80263456	-1.669355893	0.389703559	-4.283655756	1.84E-05	3.09E-05	down	-
MHP168L_RS04065	16.35143315	-1.040891291	0.469828629	-2.215470124	0.026727813	0.034878848	down	-
MHP168L_RS04070	408.5122304	3.655677827	0.155522846	23.50572873	3.56E-122	4.45E-121	up	-
MHP168L_RS04075	3.882755349	5.133303263	1.448153464	3.544723256	0.000393026	0.000616773	up	-
MHP168L_RS04085	93.69242926	-3.323993051	0.260729267	-12.7488298	3.16E-37	1.53E-36	down	-
MHP168L_RS04090	35.319882	-0.857714125	0.366192049	-2.342252179	0.019167759	0.025282205	normal	-
MHP168L_RS04095	105.4709827	-0.657276602	0.191326977	-3.43535769	0.000591772	0.000905498	normal	-
MHP168L_RS04100	21.09938062	1.691628292	0.467339494	3.619698986	0.000294946	0.000467845	up	-
MHP168L_RS04105	5506.007858	-0.381463147	0.083028507	-4.594363558	4.34E-06	7.57E-06	normal	-
MHP168L_RS04110	15.13613929	0.071663324	0.489322867	0.146454066	0.883562949	0.898207638	normal	-
MHP168L_RS04115	19458.96653	-0.924691402	0.064444366	-14.34867714	1.09E-46	6.39E-46	normal	-
MHP168L_RS04120	2120.569499	-0.071717485	0.069044622	-1.038712109	0.298938648	0.340586447	normal	-
