ID	X168L.3D.1_host_sorted	X168L.3D.2_host_sorted	X168L.3D.3_host_sorted	X168L.3D.4_host_sorted	X168L.3D.5_host_sorted	LH.1A_host_sorted	LH.2A_host_sorted	LH.3A_host_sorted	LH.3D.1_host_sorted	LH.3D.2_host_sorted	LH.3D.3_host_sorted	LH.3D.4_host_sorted	LH.4A_host_sorted	NC.1A_host_sorted	NC.2A_host_sorted	NC.3A_host_sorted	NC.4A_host_sorted
ADA	2.42839349033204	3.74205562272531	1.80137737222232	3.34212278955712	2.26560334421038	0.824458208365591	0.475476436710317	0.520851628942996	8.36067022261676	9.0901794942056	9.23264786516069	7.09989136252277	0.476572653160296	0.4496079964969	0.388280178771275	0.576265517473472	0.58953696164172
ADGRF5	5.78324896276187	3.07870265192693	5.18195937983779	2.08139447284233	4.08197916932898	0.131856111055022	0.0438366915977202	0.170663666792897	1.09047263403133	1.51016185454257	1.81426579519579	2.05261656687379	0.0762185591013313	0.0438395162704086	0.0706363488262194	0.0477225002767655	0.0643072124988036
ARID4A	34.3467034781802	34.8465170504622	40.264618862657	34.0287431084446	27.4373341575508	7.06787930879276	5.05610047931839	6.22612737768534	27.4385697210439	25.2112460980567	22.5798684032004	24.3669491934875	5.34957607253816	5.89645919034806	5.81102484896769	6.55416543353696	5.16833120678377
ARNT	62.1253696802912	59.8731900617949	56.2853983056935	51.6029793148793	53.1178797504937	15.4114923775986	10.4641904106351	11.7950027614957	51.0936649964088	55.7585319236311	58.3977963719604	69.9182244425188	9.97392737625307	9.49851456676947	8.89522792757227	8.34711977955157	9.24752763972713
CD74	23.4202071355679	17.1970514562775	14.1942953955763	8.48504713707055	12.2622904546847	0.536399912832255	0.528248613711776	0.704481651924574	20.1302888050655	30.0042308402044	37.789889465954	33.0454257902071	0.528930056809169	0.542020498823964	0.273050954895847	0.418730055059994	0.48595588835661
CD83	73.2071889607835	62.0248809832682	42.6887305911326	65.0883971229413	63.4772607353375	0.0761065250356783	0.650629671970643	0.83730103570468	65.6388889977594	95.7879274630556	89.1615827574407	84.6219333504327	0.762543201476209	0.590424226105966	0.862460501027211	0.627416839941585	0.273499004426983
CSF1	52.4087730874392	31.185997619398	27.508268719116	29.3616388219961	49.9838932210763	1.3292453220624	1.54012577875357	1.30452873221222	33.0439757741995	59.7926908407594	71.4271006533954	45.1393292457652	1.2918605932441	1.43268678541871	1.35434994390596	1.40979318591394	1.24857260851101
DYRK3	37.6501038408836	35.8347944787165	29.7498511553979	38.7128198053371	47.2162666363973	2.6341582045794	2.56519626280419	2.18588901712094	44.1408557557404	51.606056479532	67.2207359654792	59.8417377745012	2.66465124054714	2.76631908037029	2.45548713328635	2.75505520527292	1.79127128765317
FBN1	30.023774062287	40.2128326246197	24.7204292448107	26.4046388951317	28.9164140462759	0.212731872220499	0.54306335498103	0.131934984615466	32.2020047169812	41.9407975999326	51.6165932978178	73.9477074642252	0.181036607554326	0.189920697045568	0.054789483619935	0.523985262688145	0.366313578895706
FOS	60.3894906398248	70.4869778842734	63.2324112658065	60.425312833541	52.2518690335399	40.910752710081	41.0773476847436	45.6729188756162	153.93162583739	167.20538715764	212.97114646739	216.99575696923	44.8860358996013	43.998561197072	48.7286754733309	41.5305088314593	42.104823689569
GLI2	2.34257044642716	1.95507784704453	1.41295801704946	1.35378652973655	1.58347790803755	0.0194047869057465	0.00691209357171159	0.103603312339548	2.44160246243912	2.97327847169928	3.5524978411497	2.76688903943927	0.0224336192807507	0.0268820959602477	0.0299864306149309	0.0292631155870873	0.00747146830054243
HLA-DRA	10.2703307697005	7.77176543712285	8.3945415866391	4.90902640678142	5.47510973128851	0.217566780778616	0.193746258866738	0.096000164711858	9.2711435309336	10.4141954406773	12.2367174661239	10.9467716756142	0.0971805377681072	0.0328802715651997	0.0611287889250371	0.119308552523842	0.0799624845813392
ID2	287.531896479041	215.880329616488	191.985874616482	161.349890971084	260.674042606904	12.7801270868773	9.60882501817797	10.0747980086817	112.027364637912	151.615830599959	179.62336783023	256.151321298244	11.1555732925646	12.8329620142761	10.9482535548318	11.5119950874714	11.1460185518917
KMT2E	80.0057753211741	82.5385619304043	78.2996019459209	70.6737057473561	66.9506244460012	16.9174852813649	12.1106084160724	13.7673645268169	73.3869766823513	81.1457102192654	68.7957398222156	81.5394310471428	11.0154222592307	11.014054123672	10.867102859122	12.4706210700985	11.0189003316453
LOX	370.91841158043	689.500053058021	472.395672637023	498.894063770001	427.644380785746	4.5386575131085	6.41859307627571	2.79715520300714	320.006509910844	350.049052408609	261.038707170743	548.456238959454	3.99591516543714	4.5390323249439	4.03467067790515	9.70260649985674	6.7869770971748
MAFB	9.39537447538469	6.681738482783	7.41272477165071	5.48564473207066	8.87175640966885	0.626960034878533	0.244170491692915	0.689762522074345	6.85910282169925	9.34647493569122	13.3961405518747	12.9911114111111	0.657170370769446	0.412271052180015	0.289362673469546	0.151276520031882	0.19311985435572
MEF2C	4.84770761706386	3.02796696585977	4.1211152651444	2.57683106834286	3.53960979443276	0	0.0154508717692106	0	1.84489318573969	3.14188022121958	3.42174751348332	2.87696442345691	0.0313417139132728	0.0120181190621976	0.00670298353806719	0.0196238943445776	0.0167012638705956
MEIS2	7.31253883602941	8.11354450727619	6.22107044908959	4.21047996825203	6.26955919301735	0	0.0746760538637062	0.118713332516231	4.90722959267485	7.51143889493309	7.50612606433289	7.70749616907481	0.0403942776619653	0.193617059247428	0.30236624146442	0.0526915608884056	0.127805653306671
