Phylum	SGB	uSGB	kSGB	MAG
Acidobacteriota	1	1	0	1
Actinobacteriota	24	7	17	26
Armatimonadota	1	0	1	1
Bacteroidota	66	43	23	81
Campylobacterota	4	2	2	4
Chloroflexota	1	1	0	1
Cyanobacteria	1	1	0	1
Deinococcota	4	2	2	31
Fibrobacterota	2	0	2	2
Firmicutes	28	11	17	46
Firmicutes_A	31	9	22	31
Fusobacteriota	1	0	1	3
Methanobacteriota	1	0	1	1
Myxococcota	1	0	1	1
Proteobacteria	84	30	54	120
Spirochaetota	6	0	6	6
